cw_raju_10_58,48,18,1.8,1679.58984375,43.06640625,1636.5234375,4194.37724825,1679.58984375,43.06640625,1636.5234375,4194.37724825,39041594
cw_raju_11_00,21,12,2.1,2971.58203125,43.06640625,2928.515625,5474.18310267,2971.58203125,43.06640625,2928.515625,5474.18310267,119826
cw_ranjith_3_34,27,8,1.3,689.0625,43.06640625,645.99609375,4779.58391259,689.0625,43.06640625,645.99609375,4779.58391259,10171877
cw_ranjith_3_37,41,10,1.5,516.796875,43.06640625,473.73046875,4917.7736555,516.796875,43.06640625,473.73046875,4917.7736555,9977488
cw_ranjith_3_45,26,8,1.5,602.9296875,43.06640625,559.86328125,4998.42794508,602.9296875,43.06640625,559.86328125,4998.42794508,776686
cw_ranjith_3_48,47,8,1.8,602.9296875,43.06640625,559.86328125,4240.01728096,602.9296875,43.06640625,559.86328125,4240.01728096,15914678
cw_saurav_5_01,25,12,1.8,1162.79296875,43.06640625,1119.7265625,4211.11747827,1162.79296875,43.06640625,1119.7265625,4211.11747827,18886821
cw_saurav_5_04,16,13,1.2,1076.66015625,43.06640625,1033.59375,4803.83904979,1076.66015625,43.06640625,1033.59375,4803.83904979,10942213
cw_saurav_5_09,18,14,1.4,1421.19140625,43.06640625,1378.125,2396.13388997,1421.19140625,43.06640625,1378.125,2396.13388997,11600627
cw_saurav_5_13,32,13,1.2,732.12890625,43.06640625,689.0625,5105.15069454,732.12890625,43.06640625,689.0625,5105.15069454,61933244
cw_shekhar_401_1,16,14,1,1894.921875,43.06640625,1851.85546875,5568.95187075,1894.921875,43.06640625,1851.85546875,5568.95187075,2796075
cw_shekhar_401_2,16,16,1.8,1851.85546875,43.06640625,1808.7890625,5149.75663558,1851.85546875,43.06640625,1808.7890625,5149.75663558,5883696
cw_shekhar_404,30,2.1,20,1464.2578125,43.06640625,1421.19140625,6707.3021436,1464.2578125,43.06640625,1421.19140625,6707.3021436,2855324
cw_shekhar_406,22,12,1.8,1981.0546875,43.06640625,1937.98828125,4792.31648815,1981.0546875,43.06640625,1937.98828125,4792.31648815,4815511
cw_shekhar_410,24,14,1.6,2411.71875,43.06640625,2368.65234375,5973.2507996,2411.71875,43.06640625,2368.65234375,5973.2507996,-742565
cw_sheshadri_3_24,30,8,1.8,2627.05078125,43.06640625,2583.984375,3711.76860676,2627.05078125,43.06640625,2583.984375,3711.76860676,18639383
cw_sheshadri_3_27,30,10,2,2110.25390625,43.06640625,2067.1875,4499.28303705,2110.25390625,43.06640625,2067.1875,4499.28303705,25171632
cw_sheshadri_3_31,40,18,2,818.26171875,43.06640625,775.1953125,3757.92640641,818.26171875,43.06640625,775.1953125,3757.92640641,699130
cw_sheshadri_3_34,36,14,1.8,1636.5234375,43.06640625,1593.45703125,4391.96812849,1636.5234375,43.06640625,1593.45703125,4391.96812849,27041431
