224.76,94.954,1100.6,1292
1104.7,90.869,2057.6,2319
458.13,95.146,1080.2,1335
644.17,88.091,2149.2,2279
317.64,73.857,1455.6,1555
858.09,70.813,792.2,830
276.14,86.959,636.6,692
379.22,65.914,1104,1265
188.91,71.317,670,919
460.21,69.166,1239.4,1330
579.9,71.552,1461,1511
284.1,74.525,621.8,709
1045.1,72.491,1733.2,2111
1126.1,50.454,1748.4,2087
643.41,50.555,1575.4,1640
425.32,51.588,1102.6,1139
370.81,51.417,1051.2,1291
166.85,51.407,1118,1177
129.72,54.55,1190.6,1393
244.39,50.8,1397.2,1610
129.29,53.703,976.2,1070
0,0,0,0
253.08,70.641,862.4,977
1229.6,73.838,1073.2,1995
2173.6,70.474,1382.4,1778
648.42,78.957,715.6,756
604.34,69.991,683.8,794
1041.9,68.484,764.2,841
794.23,75.847,1127.6,1217
196.4,64.875,737.2,819
137.13,62.174,826,857
132.88,64.231,834.8,981
117.52,68.79,991.6,1051
40.329,64.195,952,1040
198.12,66.447,1197.4,1243
1618.4,85.193,1347.8,1612
1422,94.727,1551.8,2249
703.76,95.995,877.2,1033
0,0,0,0
888.02,66.351,1742.6,2589
689.35,64.704,1515.6,1654
1008,71.018,1501,1607
1486.1,65.011,1128,1254
268.53,76.689,918,1052
546.62,87.269,964,1008
484.02,78.705,1213.8,1632
352.09,81.298,692.2,801
1104,77.924,1891.8,2047
304.6,77.996,1537.2,1811
0,0,0,0
899.51,79.371,1735.4,2134
0,0,0,0
1065.1,90.595,1380,1762
624.29,86.448,943.8,974
238.26,85.642,907.8,1708
362.76,76.324,868.2,1644
934.21,75.819,2626.6,2715
384.52,56.94,797.6,821
926.41,95.707,690.2,777
289.2,96.693,534.8,598
1012.4,99.235,1160.8,1249
0,0,0,0
675.74,97.938,1284.2,1396
0,0,0,0
68.525,78.007,1019.8,1092
67.923,60.158,912.8,1003
38.86,70.841,616.8,657
52.93,66.198,732,798
14.832,62.592,908.6,968
307.88,64.533,660.4,690
232.46,61.321,1117.6,1303
570.16,65.575,1062.6,1356
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
24.529,78.173,780.8,832
69.884,98.204,1183.2,1369
188.38,98.04,706,787
195.32,99.451,1162.4,1227
108.9,52.047,711,770
173.23,99.74,1082.8,1199
29.9,52.285,903.2,963
